Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1",1,"Green LED"
"R1, R3",2,"100 Ω Resistor"
"PIEZO1",1," Piezo"
"U2",1," Temperature Sensor [TMP36]"
"Q1",1," Ambient Light Sensor [Phototransistor]"
"R2",1,"10 kΩ Resistor"
"D2",1,"Red LED"
"PIR1",1,"10.802194740385005 , -182.1467580660195 , -221.18779122903365  PIR Sensor"
